,leaf,compl,spec,area,perim,tip,base,l.max,r.max,EFN1.type,EFN1.side,EFN1.max.1,EFN1.bowl.max.1,EFN1.bowl.max.2,EFN1.max.2,EFN1.min.1,EFN1.bowl.min.1,EFN1.bowl.min.2,EFN1.min.2,EFN1.vein,EFN1.margin,EFN1.base,EFN1.tip,EFN2.type,EFN2.side,EFN2.max.1,EFN2.bowl.max.1,EFN2.bowl.max.2,EFN2.max.2,EFN2.min.1,EFN2.bowl.min.1,EFN2.bowl.min.2,EFN2.min.2,EFN2.vein,EFN2.margin,EFN2.base,EFN2.tip,EFN3.type,EFN3.side,EFN3.max.1,EFN3.bowl.max.1,EFN3.bowl.max.2,EFN3.max.2,EFN3.min.1,EFN3.bowl.min.1,EFN3.bowl.min.2,EFN3.min.2,EFN3.vein,EFN3.margin,EFN3.base,EFN3.tip,EFN4.type,EFN4.side,EFN4.max.1,EFN4.bowl.max.1,EFN4.bowl.max.2,EFN4.max.2,EFN4.min.1,EFN4.bowl.min.1,EFN4.bowl.min.2,EFN4.min.2,EFN4.vein,EFN4.margin,EFN4.base,EFN4.tip,EFN5.type,EFN5.side,EFN5.max.1,EFN5.bowl.max.1,EFN5.bowl.max.2,EFN5.max.2,EFN5.min.1,EFN5.bowl.min.1,EFN5.bowl.min.2,EFN5.min.2,EFN5.vein,EFN5.margin,EFN5.base,EFN5.tip,EFN6.type,EFN6.side,EFN6.max.1,EFN6.bowl.max.1,EFN6.bowl.max.2,EFN6.max.2,EFN6.min.1,EFN6.bowl.min.1,EFN6.bowl.min.2,EFN6.min.2,EFN6.vein,EFN6.margin,EFN6.base,EFN6.tip,EFN7.type,EFN7.side,EFN7.max.1,EFN7.bowl.max.1,EFN7.bowl.max.2,EFN7.max.2,EFN7.min.1,EFN7.bowl.min.1,EFN7.bowl.min.2,EFN7.min.2,EFN7.vein,EFN7.margin,EFN7.base,EFN7.tip,EFN8.type,EFN8.side,EFN8.max.1,EFN8.bowl.max.1,EFN8.bowl.max.2,EFN8.max.2,EFN8.min.1,EFN8.bowl.min.1,EFN8.bowl.min.2,EFN8.min.2,EFN8.vein,EFN8.margin,EFN8.base,EFN8.tip,EFN9.type,EFN9.side,EFN9.max.1,EFN9.bowl.max.1,EFN9.bowl.max.2,EFN9.max.2,EFN9.min.1,EFN9.bowl.min.1,EFN9.bowl.min.2,EFN9.min.2,EFN9.vein,EFN9.margin,EFN9.base,EFN9.tip,EFN10.type,EFN10.side,EFN10.max.1,EFN10.bowl.max.1,EFN10.bowl.max.2,EFN10.max.2,EFN10.min.1,EFN10.bowl.min.1,EFN10.bowl.min.2,EFN10.min.2,EFN10.vein,EFN10.margin,EFN10.base,EFN10.tip,EFN11.type,EFN11.side,EFN11.max.1,EFN11.bowl.max.1,EFN11.bowl.max.2,EFN11.max.2,EFN11.min.1,EFN11.bowl.min.1,EFN11.bowl.min.2,EFN11.min.2,EFN11.vein,EFN11.margin,EFN11.base,EFN11.tip,EFN12.type,EFN12.side,EFN12.max.1,EFN12.bowl.max.1,EFN12.bowl.max.2,EFN12.max.2,EFN12.min.1,EFN12.bowl.min.1,EFN12.bowl.min.2,EFN12.min.2,EFN12.vein,EFN12.margin,EFN12.base,EFN12.tip,EFN13.type,EFN13.side,EFN13.max.1,EFN13.bowl.max.1,EFN13.bowl.max.2,EFN13.max.2,EFN13.min.1,EFN13.bowl.min.1,EFN13.bowl.min.2,EFN13.min.2,EFN13.vein,EFN13.margin,EFN13.base,EFN13.tip,EFN14.type,EFN14.side,EFN14.max.1,EFN14.bowl.max.1,EFN14.bowl.max.2,EFN14.max.2,EFN14.min.1,EFN14.bowl.min.1,EFN14.bowl.min.2,EFN14.min.2,EFN14.vein,EFN14.margin,EFN14.base,EFN14.tip,EFN15.type,EFN15.side,EFN15.max.1,EFN15.bowl.max.1,EFN15.bowl.max.2,EFN15.max.2,EFN15.min.1,EFN15.bowl.min.1,EFN15.bowl.min.2,EFN15.min.2,EFN15.vein,EFN15.margin,EFN15.base,EFN15.tip,EFN16.type,EFN16.side,EFN16.max.1,EFN16.bowl.max.1,EFN16.bowl.max.2,EFN16.max.2,EFN16.min.1,EFN16.bowl.min.1,EFN16.bowl.min.2,EFN16.min.2,EFN16.vein,EFN16.margin,EFN16.base,EFN16.tip,EFN17.type,EFN17.side,EFN17.max.1,EFN17.bowl.max.1,EFN17.bowl.max.2,EFN17.max.2,EFN17.min.1,EFN17.bowl.min.1,EFN17.bowl.min.2,EFN17.min.2,EFN17.vein,EFN17.margin,EFN17.base,EFN17.tip
y,,,,,,231.965,159.533,176.043,188.235,,,167.635,167.471,167.349,167.206,167.624,167.46,167.349,167.296,167.979,166.575,NA,NA,,,165.841,165.783,165.687,165.613,165.973,165.825,165.656,165.544,166.613,164.581,NA,NA,,,163.116,163.063,162.84,162.661,163.216,163.084,162.862,162.692,164.387,161.128,NA,NA,,,160.002,159.995,159.918,159.882,160.228,160.115,159.78,159.678,160.655,159.018,NA,NA,,,159.173,159.173,159.189,159.2,159.401,159.284,159.062,158.951,159.941,158.115,NA,NA,,,162.735,162.872,163.221,163.348,163.073,163.063,163.031,163.031,163.031,163.137,NA,NA,,,166.515,166.666,166.966,167.047,166.638,166.726,166.843,166.924,166.472,167.192,NA,NA,,,169.217,169.37,169.677,169.783,169.481,169.481,169.508,169.519,169.45,169.503,NA,NA,,,174.477,174.59,174.942,175.041,174.703,174.71,174.823,174.865,174.456,174.964,NA,NA,,,178.738,178.837,179.091,179.162,179.049,178.999,178.823,178.71,178.823,178.978,NA,NA,,,182.33,182.365,182.555,182.612,182.33,182.421,182.612,182.725,182.21,182.824,NA,NA,,,185.341,185.415,185.732,185.843,185.536,185.536,185.595,185.632,185.298,186.113,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,117,M,foetidum_100898,,,155.54,117.658,128.714,135.375,La,L,121.867,121.814,121.65,121.565,121.856,121.814,121.677,121.629,122.872,121.116,,,La,L,119.302,119.257,119.062,119.01,119.267,119.214,119.108,119.084,120.223,118.205,,,La,R,121.544,121.539,121.518,121.518,121.64,121.597,121.444,121.364,121.525,121.447,,,La,R,122.872,122.992,123.268,123.363,123.109,123.116,123.105,123.119,122.943,123.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,73.829,93.62,76.934,91.341,,,84.36,84.418,84.587,84.672,84.608,84.587,84.455,84.423,85.651,83.894,,,,,89.016,89.076,89.253,89.32,89.228,89.196,89.101,89.073,89.725,88.819,,,,,93.964,94.028,94.223,94.287,94.133,94.131,94.099,94.115,93.931,94.456,,,,,93.289,93.296,93.296,93.278,93.116,93.211,93.416,93.504,92.11,94.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,118,N,foetidum_100898,,,91.144,109.015,96.245,110.977,La,R,110.178,110.273,110.426,110.49,110.231,110.278,110.405,110.458,109.241,111.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,82.656,119.472,108.754,98.785,,,116.221,116.131,115.967,115.903,115.946,115.999,116.11,116.168,115.782,116.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,Estimated,,,,,,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,119,M,foetidum_100898,,,91.588,105.812,93.662,107.287,La,L,96.88,96.964,97.129,97.176,97.261,97.144,96.933,96.901,98.145,96.753,,,La,L,99.596,99.667,99.822,99.885,99.928,99.893,99.674,99.631,100.937,99.54,,,La,R,107.019,107.033,107.054,107.04,106.842,106.955,107.146,107.23,105.932,108.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,83.375,114.363,102.235,96.344,,,105.008,105.114,105.331,105.421,105.003,105.13,105.309,105.336,104.479,105.521,,,,,108.303,108.373,108.613,108.719,108.394,108.416,108.578,108.613,107.738,108.698,,,,,111.301,111.21,110.942,110.878,111.083,111.069,111.069,111.069,110.765,111.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,120,M,foetidum_100898,,,137.964,111.633,114.596,130.683,La,L,110.903,110.903,110.977,110.993,111.114,111.046,110.871,110.723,113.078,110.437,,,La,L,111.569,111.548,111.506,111.474,111.749,111.633,111.421,111.321,112.892,110.506,,,La,R,115.21,115.327,115.755,115.808,115.506,115.506,115.496,115.501,115.036,115.491,,,La,R,116.422,116.522,116.702,116.782,116.501,116.57,116.676,116.724,116.12,117.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,84.222,118.512,98.615,106.489,,,110.987,111.061,111.501,111.58,111.183,111.204,111.252,111.215,111.363,111.236,,,,,114.226,114.316,114.528,114.67,114.469,114.453,114.411,114.39,114.236,114.729,,,,,117.983,118.009,117.978,117.978,117.814,117.882,118.078,118.168,116.612,118.454,,,,,117.062,117.02,116.898,116.866,116.814,116.888,117.062,117.12,116.052,118.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,121,Y,foetidum_100898,,,162.518,184.34,167.005,181.483,La,L,168.788,168.709,168.492,168.455,168.455,168.508,168.656,168.783,170.005,167.973,,,La,R,177.424,177.393,177.281,177.244,177.202,177.271,177.371,177.43,177.938,176.424,,,La,R,182.092,182.166,182.361,182.414,182.118,182.192,182.308,182.388,182.43,182.34,,,La,R,184.351,184.367,184.383,184.393,184.145,184.235,184.415,184.51,183.938,184.859,,,La,R,184.642,184.637,184.616,184.616,184.467,184.547,184.727,184.806,183.732,185.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,85.026,112.458,104.436,95.25,,,104.214,104.278,104.51,104.537,104.267,104.341,104.468,104.542,103.023,105.029,,,,,109.368,109.437,109.702,109.76,109.485,109.543,109.606,109.659,108.532,110.956,,,,,111.675,111.628,111.437,111.374,111.427,111.48,111.612,111.702,110.855,112.506,,,,,110.982,110.903,110.643,110.538,110.786,110.786,110.781,110.776,110.781,111.3,,,,,109.643,109.575,109.352,109.257,109.469,109.458,109.432,109.416,109.585,109.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,122,Y,foetidum_100898,,,227.097,213.974,219.456,224.818,La,L,214.842,214.817,214.69,214.637,214.965,214.898,214.711,214.581,216.38,213.967,,,La,R,214.185,,,214.439,214.281,,,214.387,214.762,214.45,,,La,R,215.069,215.143,215.381,215.45,215.252,215.265,215.27,215.276,215.016,215.675,,,La,R,216.598,216.657,216.778,216.845,216.725,216.736,216.715,216.715,216.395,216.9,,,La,R,218.228,218.271,218.464,218.527,218.366,218.355,218.345,218.337,218.035,218.615,,,La,R,222.165,222.204,222.412,222.479,222.208,222.243,222.388,222.448,221.678,222.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,74.422,94.319,80.306,83.58,,,89.655,89.708,90.001,90.114,89.927,89.902,89.817,89.754,88.935,89.521,,,,,94.192,,,94.049,94.028,,,94.213,93.133,94.297,,,,,93.08,93.078,93.03,93.02,92.908,92.99,93.131,93.197,92.84,93.268,,,,,91.824,91.826,91.816,91.824,91.723,91.773,91.892,91.937,91.575,91.937,,,,,89.964,89.969,89.993,90.001,89.837,89.905,90.077,90.138,89.808,90.149,,,,,85.524,85.475,85.228,85.15,85.153,85.196,85.418,85.485,84.307,85.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,123,Y,foetidum_100898,,,248.948,212.901,226.716,230.822,La,L,220.091,220.054,219.895,219.832,220.096,220.006,219.9,219.853,220.578,219.646,,,La,L,217.53,217.472,217.276,217.191,217.461,217.435,217.281,217.255,217.916,216.815,,,La,L,215.069,215.037,214.884,214.831,215.117,215.059,214.889,214.842,215.477,214.482,,,La,R,216.154,216.233,216.429,216.503,216.429,216.397,216.281,216.228,216.456,216.286,,,La,R,219.186,219.276,219.519,219.583,219.382,219.392,219.43,219.435,219.382,219.525,,,La,R,221.726,221.8,222.049,222.102,221.959,221.948,221.927,221.906,221.985,221.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,87.863,101.487,90.593,103.42,,,94.853,94.885,95.065,95.128,95.081,95.012,94.89,94.848,95.732,94.599,,,,,97.07,97.097,97.229,97.277,97.229,97.203,97.081,97.049,97.885,96.626,,,,,99.065,99.113,99.383,99.462,99.34,99.293,99.187,99.145,99.79,98.79,,,,,102.642,102.701,102.817,102.87,102.621,102.69,102.854,102.923,101.828,103.658,,,,,103.066,103.082,103.066,103.06,102.875,102.928,103.172,103.235,102.214,103.997,,,,,103.341,103.362,103.426,103.447,103.267,103.299,103.468,103.531,102.441,103.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,124,M,foetidum_100898,,,241.321,211.815,230.484,222.292,La,L,218.8,218.673,218.419,218.287,218.609,218.588,218.498,218.477,218.461,218.636,,,La,L,215.249,215.138,214.884,214.762,214.963,214.99,215.043,215.053,215.122,214.625,,,La,R,213.931,214.021,214.164,214.238,214.249,214.164,214,213.953,215.44,213.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,128.122,105.219,109.474,120.459,,,104.442,104.463,104.505,104.526,104.627,104.569,104.362,104.299,105.119,103.838,,,,,104.495,104.452,104.41,104.394,104.632,104.542,104.352,104.246,105.055,103.695,,,,,108.945,109.045,109.22,109.278,108.998,109.098,109.225,109.289,108.638,109.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,Estimated,,,,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,125,M,foetidum_100898,,,75.332,79.756,67.691,83.841,La,L,73.607,73.656,73.833,73.886,73.819,73.787,73.706,73.671,75.253,72.723,,,La,L,76.694,76.74,76.87,76.898,76.941,76.902,76.736,76.687,78.091,76.08,,,La,R,81.485,81.453,81.28,81.234,81.224,81.287,81.449,81.509,80.86,81.83,,,La,R,82.195,82.275,82.486,82.629,82.301,82.359,82.444,82.529,81.809,82.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,154.009,199.326,180.403,178.879,,,192.631,192.67,192.807,192.867,192.599,192.645,192.797,192.839,191.807,193.469,,,,,196.092,196.169,196.377,196.434,196.19,196.219,196.356,196.391,195.157,197.104,,,,,197.026,196.945,196.667,196.607,196.942,196.882,196.762,196.723,196.663,197.15,,,,,193.463,193.405,193.236,193.141,193.188,193.268,193.416,193.537,193.225,193.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,126,Y,foetidum_100898,,,122.513,95.553,101.515,113.538,La,L,96.986,96.922,96.716,96.689,96.991,96.964,96.716,96.642,98.647,95.832,,,La,L,95.933,95.922,95.827,95.821,96.065,95.975,95.758,95.679,96.98,94.874,,,La,R,99.817,99.928,100.192,100.304,99.975,100.018,100.113,100.145,99.695,100.378,,,La,R,103.727,103.822,104.008,104.082,103.807,103.854,103.971,104.034,103.008,104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,,,,155.272,188.348,169.016,180.488,,,178.498,178.578,178.79,178.837,178.758,178.726,178.588,178.536,179.403,178.319,,,,,183.875,183.944,184.219,184.319,184.124,184.118,184.06,184.044,184.367,183.97,,,,,187.404,187.383,187.261,187.214,187.066,187.156,187.399,187.463,186.24,188.293,,,,,185.917,185.88,185.711,185.669,185.642,185.711,185.88,185.944,184.557,186.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,127,M,foetidum_100898,,,85.302,88.032,79.883,91.948,La,L,83.397,83.497,83.667,83.735,83.677,83.608,83.54,83.471,84.688,82.388,,,La,L,86.016,86.122,86.339,86.45,86.233,86.254,86.275,86.286,86.667,85.556,,,La,R,89.814,89.782,89.718,89.694,89.588,89.644,89.835,89.916,89.083,90.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
